"product_name","countries_en","additives_n","pnns_groups_2","energy_100g","fat_100g","saturated.fat_100g","carbohydrates_100g","proteins_100g","sodium_100g","nutrition.score.fr_100g","nutrition.score.uk_100g"
"Véritable Andouille de Guémené à l'ancienne","France",0,"Processed meat",1046,20,9.6,0,18,1.14173228346457,22,22
"Panda","Other",7,"Processed meat",1954,41,17.5,4.9,19,1.4,24,24
"Valblanc","Other",3,"Cheese",1362,29,19.2,7,10,1.07,20,25
"gaufres sucrées Valérie","Other",5,"Biscuits and cakes",1938,25.1,12,52.3,6.2,0.354330708661417,22,22
"Madeleines au beurre","Other",3,"Biscuits and cakes",1914,23,16,56,5.8,0.381889763779528,26,26
"MILSANI Fromage frais maigre","Other",0,"Cheese",209,0.2,0.1,4.4,7.6,0.0393700787401575,-4,-4
"Fromage d'abbaye - Abdijkaas","France",2,"Cheese",1360,28,19,0.5,19,0.75,17,22
"Gouda jeune (29,7 % MG) 7 tranches","France",2,"Cheese",1487,29.7,20.2,0,22.8,0.8,17,22
"Swiss Gruyere","UK",0,"Cheese",1643,32,19.4,0,27,0.59,15,20
"Bavarian Smoked Ham thin sliced","UK",4,"Processed meat",473,2.8,0.9,0.4,21,1.34,11,11
"Petits soufflés Amandes","France",0,"Biscuits and cakes",1917,13,1,75,8.8,0.031496062992126,15,15
"Emmental (28% MG)","France",0,"Cheese",1529,28,19,1,28,0.236220472440945,11,16
"Jambon Supérieur Sans Couenne","France",1,"Processed meat",468,3,1.2,1,20,0.826771653543307,11,11
"Roquefort, lait cru de brebis","France",0,"Cheese",1540,32,24,0,19,1.37795275590551,19,24
"Cookies Soft Baked","Germany",4,"Biscuits and cakes",1959,23,11,59,5.2,0.248031496062992,22,22
"Ziegen-Camembert Classic Cremig & Extra Mild","Germany",0,"Cheese",1248,25,17,0.5,19,0.590551181102362,14,19
"Select Brie","Germany",0,"Cheese",1265,25,17,1,20,0.236220472440945,10,15
"Frischkäse mit feinen Kräutern","Germany",1,"Cheese",1037,24.2,15.4,2.9,5,0.47244094488189,15,18
"Geriebener Hartkäse","Germany",1,"Cheese",1932,31.7,20.2,2,42.2,1.5748031496063,20,25
"Baumkuchen mit Zartbitterschokolade","Germany",3,"Biscuits and cakes",2044,30,20,48,6.8,0.110236220472441,24,24
"Zitronen Rührkuchen","Other",5,"Biscuits and cakes",1850,24,4.9,51,5.3,0.196850393700787,18,18
"Schoko Butterkeks Zartbitter","Germany",2,"Biscuits and cakes",2107,26,17,58,6.9,0.232283464566929,25,25
"Skyr Natur","Germany",0,"Cheese",262,0.2,0.1,4,11,0.031496062992126,-5,-5
"Skyr Himbeer-Cranberry","Germany",0,"Cheese",325,0.2,0.1,9.8,8.9,0.0196850393700787,-3,-3
"Donauwellen","Germany",4,"Biscuits and cakes",1122,15,5,27,4.1,0.125984251968504,12,12
"Käse für den Ofen fein-würzig","Germany",0,"Cheese",1465,32,21,0.5,16,0.669291338582677,16,21
"Speisequark Magerstufe 0,3% Fett","Germany",0,"Cheese",281,0.3,0.2,3.9,12,0.0393700787401575,-5,-5
"Harzer Käse","Germany",0,"Cheese",529,0.5,0.2,0.1,30,1.5748031496063,6,11
"Allgäuer Weichkäse","Germany",0,"Cheese",1482,32,21,0.5,17,0.708661417322835,16,21
"Hafer-Cookies mit Zartbitterschokolade","Germany",2,"Biscuits and cakes",2086,25.4,12.2,56.8,7.4,0.279527559055118,24,24
"Mozzarella Mini-Classico","Germany",1,"Cheese",1026,19,12.9,1,18,0.196850393700787,10,15
"6 Bienenstich","Germany",10,"Biscuits and cakes",1041,8.1,2.1,36.6,6.3,0.208661417322835,7,7
"Belvita Le Moelleux pépites de chocolat & 5 céréales complètes","France",6,"Biscuits and cakes",1695,15,3.4,61,5.7,0.236220472440945,9,9
"Chorizo","France",8,"Processed meat",1312,24.5,8.7,1,23.2,0.866141732283465,20,20
"Le Pâté Hénaff","France",0,"Processed meat",1149,23,9,0.5,17,0.590551181102362,17,17
" Le Pâté de Foie (Sel réduit de 30 %)","France",1,"Processed meat",1456,33.5,13.4,1.8,10.9,0.511811023622047,19,19
"Crème (23 % MG)","France",3,"Cheese",1116,23,15,1.6,14,0.787,16,21
"Société léger et fondant (11% MG)","France",3,"Cheese",808,11,7.8,6.5,17,0.590551181102362,11,16
"Le pâté de jambon","France",4,"Processed meat",1290,27,10,1.1,16,0.708661417322835,19,19
"Velouté de potiron à la crème fraîche (lot de 2)","France",0,"Soups",155,2,1.2,4,0.8,0.299,2,2
"Douceur de 8 légumes à la crème fraîche (lot de 2)","France",1,"Soups",280,4.5,2,6,1,0.31,2,2
"Mouliné de légumes variés","France",1,"Soups",128,0.9,0.3,4.4,0.8,0.303,1,1
"Mouliné de légumes verts Knorr","France",0,"Soups",120,0.5,0.1,4.5,1,0.27,0,0
"Velouté de neuf légumes","France",1,"Soups",184,1.9,0.2,5.7,0.7,0.299212598425197,2,2
"Douceur de 8 légumes à la crème fraîche","France",1,"Soups",289,4.4,1.6,6,1.1,0.291338582677165,2,2
"Douceur de 8 légumes à la crème fraîche","France",1,"Soups",289,4.4,1.6,6,1.1,0.291338582677165,2,2
"Velouté de potiron à la crème fraîche","France",0,"Soups",155,2,1.2,4,0.8,0.299,2,2
"Cookies aux pépites de chocolat","France",4,"Biscuits and cakes",1883,28,12,52,7,0.228346456692913,19,19
"Le Véritable Petit Beurre &quot;dans la poche&quot;","France",3,"Biscuits and cakes",1850,12,7.6,73,8,0.551181102362205,19,19
"Le Véritable Petit Beurre","Other",3,"Biscuits and cakes",1850,12,7.6,73,8,0.551181102362205,19,19
"Sablés beurré nantais","France",3,"Biscuits and cakes",1945,17,11,71,6.3,0.551181102362205,23,23
"Galettes Saint Sauveur","France",1,"Biscuits and cakes",2020,20,13,69,6.2,0.401574803149606,22,22
"Véritable Petit Ecolier Pocket","France",5,"Biscuits and cakes",2065,24,15,61,6.4,0.22,20,20
"Lu - Véritable Petit Écolier - Pocket - Chocolat au lait","France",5,"Biscuits and cakes",2095,24,15,65,6.5,0.24,23,23
"Petit écolier chocolat au lait","Other",5,"Biscuits and cakes",2070,23.2,14.4,64,6.72,0.192,23,23
"Mikado black night","Other",3,"Biscuits and cakes",1945,18,11,65,7.6,0.27,19,19
"Véritable petit écolier tendre coeur, 6 biscuits","France",5,"Biscuits and cakes",2155,26,16,63,6.2,0.16,24,24
"LU La Paille d'Or aux Framboises","France",2,"Biscuits and cakes",1515,1.1,0.3,81,4.3,0.05,11,11
"Figolu","France",2,"Biscuits and cakes",1590,7.2,3.6,74,3.9,0.110236220472441,15,15
"Biscuits Thé","Other",3,"Biscuits and cakes",1905,14,6.5,72,7.6,0.267716535433071,14,14
"Dinosaurus","France",3,"Biscuits and cakes",497,12.3,12.3,64.2,6.42,0.374,17,17
"Coqueline 3 chatons Fraise","France",7,"Biscuits and cakes",1610,13,5.6,64,4.4,0.169291338582677,18,18
"Lulu la Coqueline Goût Chocolat Noisette","France",5,"Biscuits and cakes",1760,20,8.7,56,6.2,0.177165354330709,20,20
"Parfum Chocolat Goûters REM","France",4,"Biscuits and cakes",1945,17,9,69,6.7,0.34251968503937,17,17
"Palmito","France",5,"Biscuits and cakes",2285,31,16,59,6.3,0.641732283464567,23,23
"Palmito L'original","France",5,"Biscuits and cakes",2285,31,16,59,6.3,0.641732283464567,23,23
"Hello!","France",4,"Biscuits and cakes",2145,28,15,59,5.3,0.5,23,23
"Lulu la barquette chocolat","France",5,"Biscuits and cakes",2025,23,2.7,62,7,0.118110236220472,16,16
"Lulu la barquette (Fraise)","Other",2,"Biscuits and cakes",1480,2.1,0.5,78,4.2,0.0315,13,13
"Lulu la barquette Fraise","France",2,"Biscuits and cakes",1480,2.1,0.5,78,4.2,0.0315,13,13
"Lulu barquette framboise (120 g)","Other",2,"Biscuits and cakes",1485,2.1,0.5,78,4.1,0.0393700787401575,12,12
"14 Gaufrettes saveur Cacao","France",3,"Biscuits and cakes",2160,26,16,63.5,5.4,0.169,22,22
"Feuilleté doré","France",3,"Biscuits and cakes",1920,15.5,8.7,69,8.7,0.413385826771654,15,15
"Napolitain LU classic x6","France",10,"Biscuits and cakes",1790,20,8.6,58,4.1,0.0984251968503937,18,18
"Prince Petit Déj","Other",6,"Biscuits and cakes",1975,17,8.2,70,7.1,0.216535433070866,16,16
"Belvita Petit déjeuner Céréales & Lait","France",8,"Biscuits and cakes",1840,14.4,1.6,67.2,8,0.315,8,8
"BelVita Miel et Pépites de Chocolat & 5 céréales complètes","France",7,"Biscuits and cakes",1875,15,2.6,67,7.3,0.267716535433071,10,10
"Belvita - Petit Déjeuner - Chocolat & 5 Céréales Complètes","Other",7,"Biscuits and cakes",1845,14.5,3.3,67,7.5,0.248031496062992,11,11
"Pépito Mini Roulés Chocolat","France",8,"Biscuits and cakes",1595,16,6.2,54,5.5,0.17,17,17
"Petit Brun Extra","Other",4,"Biscuits and cakes",1870,13,6,75,6.9,0.307086614173228,14,14
"Pépito pockitos chocolat noir","France",6,"Biscuits and cakes",2195,30,18,57,5.4,0.11,20,20
"Pépito Pockitos Chocolat au Lait","France",6,"Biscuits and cakes",2175,29,17,58,5.4,0.12,21,21
"Petit déjeuner chocolat","France",7,"Biscuits and cakes",1850,15,3.8,66,7.8,0.200787401574803,11,11
"Pépitos pépites (format familial)","France",7,"Biscuits and cakes",1845,24,11,51,5.2,0.327,20,20
"Petit Beukelaer","Other",3,"Biscuits and cakes",1875,12.5,5.7,74,7.6,0.433070866141732,15,15
"Cake aux fruits","France",13,"Biscuits and cakes",1632,13,5.7,63,4,0.191,17,17
"Pain d'épices Vandame gourmand au Miel","France",4,"Biscuits and cakes",1440,2.3,0.62,75,2.9,0.14,9,9
"Prosper au lait","France",4,"Biscuits and cakes",1423,2.7,0.85,74,3.5,0.19,9,9
"Véritable Petit écolier Chocolat au lait (lot de 4 x 150 g) LU","France",5,"Biscuits and cakes",2095,24,15,65,6.5,0.236,23,23
"Petit LU Pépites de Chocolat","France",4,"Biscuits and cakes",1905,16,10,68,8,0.688976377952756,22,22
"Pepito Pockitos","France",4,"Biscuits and cakes",1860,19,13.5,62,5.6,0.21,23,23
"Box à partager Chocolat au lait","France",2,"Biscuits and cakes",2010,19.5,11.5,68,6.8,0.275590551181102,21,21
"Belvita Petit Déjeuner Chocolat & 5 Céréales Complètes, allégé en sucres ","France",8,"Biscuits and cakes",1925,16,5.2,68,8.1,0.31,12,12
"Petit Déjeuner Pépites Chocolat & 5 Céréales Complètes","France",8,"Biscuits and cakes",1865,14,2,67,8.3,0.366141732283465,8,8
"Belvita Petit Déjeuner Figues","Other",7,"Biscuits and cakes",1805,14,1.4,64.5,7.3,0.12992125984252,6,6
"Miniroulés l'Original aux Fraises","France",11,"Biscuits and cakes",1330,4.9,0.8,65,4,0.15748031496063,10,10
"Miniroulés aux Framboises","France",12,"Biscuits and cakes",1335,4.9,0.8,65,3.9,0.15748031496063,10,10
"Pépito Croc sablé goût choco","France",3,"Biscuits and cakes",2176,26.5,16,63,5.6,0.12,20,20
"Belvita - Petit Déjeuner - Brut 5 & Céréales Complètes","Other",6,"Biscuits and cakes",1860,15,1.3,67,7.7,0.551181102362205,11,11
"belVita Petit Déjeuner Miel et Pépites de Chocolat & 5 céréales complètes","France",6,"Biscuits and cakes",1875,15,2.6,67,7.3,0.267716535433071,10,10
"La Paille D'Or aux framboises","France",1,"Biscuits and cakes",1565,1.1,0.2,84,4.2,0.031496062992126,11,11
" La Paille d'Or aux Fraises et aux Fraises des bois","France",6,"Biscuits and cakes",1590,1,0.2,86,3.8,0.0393700787401575,12,12
"Petit LU Beurre et Sel de Guérande","France",2,"Biscuits and cakes",2025,21,13,65,6.6,0.649606299212598,25,25
"Napolitain l'Original","France",10,"Biscuits and cakes",1790,20,8.6,58,4.1,0.0984251968503937,18,18
"Lulu Mini Ourson goût Chocolat Noisette","France",5,"Biscuits and cakes",1685,17,4.3,58,6.3,0.248031496062992,17,17
"Pépito Mini Rollos Chocolat au Lait & Coeur fondant au Lait","France",5,"Biscuits and cakes",2110,24,10.5,64,6.2,0.248031496062992,22,22
"Granola chocolat noir","France",5,"Biscuits and cakes",2135,25,14,63,6.3,0.425196850393701,20,20
"Belvita Petit Déjeuner Chocolat","Other",7,"Biscuits and cakes",1855,15,3.4,66,7.8,0.196850393700787,11,11
"belVita Petit Déjeuner Miel et Pépites de Chocolat & 5 céréales complètes","France",6,"Biscuits and cakes",1875,15,2.6,67,7.3,0.267716535433071,10,10
"Miniroulés L'original aux Abricots","France",11,"Biscuits and cakes",1335,5,0.8,65,4.1,0.15748031496063,10,10
"Granola l'original à emporter partout","France",5,"Biscuits and cakes",2090,24,13,63,7,0.465,23,23
"Pépito Pocket Chocolat au Lait","France",5,"Biscuits and cakes",2050,22,12,66,6.8,0.29,21,21
"Mikado chocolat blanc ","France",3,"Biscuits and cakes",2030,19.5,12,70,6.1,0.275590551181102,26,26
"Petit écolier Le Blanc","France",6,"Biscuits and cakes",2090,23,14.5,68,6,0.27,25,25
"Belvita Petit Déjeuner Duo Fourré Chocolat Noisette","France",7,"Biscuits and cakes",1880,14,4.9,67,7.1,0.236220472440945,12,12
"Napolitain LU 3 chocolats","France",10,"Biscuits and cakes",1925,25,12,54,4.3,0.2,23,23
"Mikado Chocolat Noir","France",3,"Biscuits and cakes",1955,18,11,66,6.6,0.267716535433071,19,19
"Mikado Chocolat au lait","France",2,"Biscuits and cakes",2010,19.5,11.5,68,6.8,0.275590551181102,21,21
"Plumetis","France",5,"Biscuits and cakes",2255,29,15,60,7.9,0.169291338582677,22,22
"Granola Chocolat au Lait","France",6,"Biscuits and cakes",2090,24,12.5,62,7,0.44,22,22
"Prince cake&choc","Other",9,"Biscuits and cakes",1885,26,12,50,5.9,0.37,21,21
"Mini Prince","France",3,"Biscuits and cakes",2095,23,12,66,6.4,0.248031496062992,20,20
"Prince goût chocolat blanc","France",5,"Biscuits and cakes",1985,17,5.9,72,5.9,0.25,17,17
"Granola L'Original (Gros Éclats de Chocolat)","France",5,"Biscuits and cakes",2130,26,14,61,4.5,0.413385826771654,24,24
"Granola Gros éclats de chocolat Amandes caramélisés","France",5,"Biscuits and cakes",2165,29,13,57,6,0.48,24,24
"Mikado Daim","France",3,"Biscuits and cakes",1980,19,11,70,6.5,0.275590551181102,22,22
"Barres Grany chocolat au lait et noisettes","France",3,"Biscuits and cakes",1865,19,8.2,64,6.1,0.217,18,18
"Biscuit intense chocolat noir","France",6,"Biscuits and cakes",2120,25,16,61,5.8,0.17,21,21
"Chamonix","France",5,"Biscuits and cakes",1535,2.1,0.37,80,4.1,0.00047244094488189,12,12
"schoks l'original","France",4,"Biscuits and cakes",2320,31,19,61,5.6,0.08,19,19
"Granola, recette originale, chocolat au lait","Other",5,"Biscuits and cakes",2080,24,13,63,6.6,0.47,23,23
"Sablé des Flandres","France",1,"Biscuits and cakes",1925,14.5,9,74.5,6.3,0.12,16,16
"Lot de 4 paquets Prince Lu Goût Chocolat","France",4,"Biscuits and cakes",1955,18,5.7,68,6.5,0.23,14,14
"Prince goût Chocolat ","France",3,"Biscuits and cakes",1955,17.5,5.5,68,6.5,0.224409448818898,14,14
"Lulu l'ourson goût tout chocolat","France",5,"Biscuits and cakes",1625,15,3.2,58,6.2,0.295275590551181,14,14
"Rillettes de Canard pur Canard","France",2,"Processed meat",1561,35,11,0.5,15,0.393700787401575,18,18
"Le Pâté Hénaff, Avec filets et jambons","France",1,"Processed meat",1159,24.8,9,0.5,17,1.8,21,21
"Le Pâté Hénaff","France",0,"Processed meat",1149,23,9,0.5,17,0.590551181102362,17,17
"Le Pâté Hénaff","France",0,"Processed meat",1149,23,9,0.5,17,0.590551181102362,17,17
"Le Pâté Hénaff","France",0,"Processed meat",1129,22.6,8.8,0.2,17,0.590551181102362,17,17
"Le Pâté de Foie","France",1,"Processed meat",1563,37,14,1.4,10,0.511811023622047,19,19
"Le pâté de jambon","France",4,"Processed meat",1290,27,10,1.1,16,0.708661417322835,19,19
"Les Rillettes","France",0,"Processed meat",1678,38,15,0.5,16,0.393700787401575,19,19
"Langue de Porc Sauce Piquante","France",4,"Processed meat",608,10,3.2,2,12,0.433070866141732,3,3
"Salakis","Other",0,"Cheese",1126,22.9,16.2,0.8,15.7,1.10236220472441,18,23
"le Palet de Chèvre Crémeux","Germany",0,"Cheese",1211,24,17,0.5,19,0.590551181102362,14,19
"100 % Brebis Léger (9 % MG)","France",0,"Cheese",671,9,6.4,0.9,19,1.1,13,18
"Roquefort AOP Caves Baragnaudes ","France",0,"Cheese",1496,31.7,22.5,0,19,1.45669291338583,19,24
"P'tit Basque (35,9% MG) ","France",4,"Cheese",1712,35.9,25.5,0.2,22.3,0.708661417322835,17,22
"100% brebis ","France",0,"Cheese",1126,22.8,16.2,0.8,15.7,1.08267716535433,18,23
"Roquefort au lait cru de brebis (31 % MG)","France",0,"Cheese",1507,32,23,0,19,1.45669291338583,19,24
"100 % Brebis (23 % MG) Basilic ","France",0,"Cheese",1214,25.8,18.3,0.8,14.6,1.04330708661417,18,23
"Crème (23 % MG) Le 2ème pot à - 50 %","France",3,"Cheese",1116,23,15,1.6,14,0.787,16,21
"Neufchâtel au lait cru (25,4% MG)","France",0,"Cheese",1229,25.4,18,0.4,16.6,0.708661417322835,15,20
"Roquefort","France",0,"Cheese",1496,31.7,22.5,0,19,1.45669291338583,19,24
"Salakis, 100% Brebis ","France",0,"Cheese",1138,22.9,16.2,0.8,15.7,1.10236220472441,18,23
"-25% de Sel (23% MG)","France",0,"Cheese",1132,23,16.3,0.8,15.7,0.708661417322835,15,20
"Brique de Brebis (26.3% MG)","France",1,"Cheese",1266,26.3,18.7,0.2,17,0.590551181102362,14,19
"-25% Salz","Germany",0,"Cheese",1132,23,16.3,0.8,15.7,0.708661417322835,15,20
"Roquefort AOP (part dégustation)","France",0,"Cheese",1496,31.7,22.5,0,19,1.45669291338583,19,24
"Roquefort (31,7% MG)","France",0,"Cheese",1496,31.7,22.5,0,19,1.45669291338583,19,24
"Bleu Plaisir (31% MG)","France",1,"Cheese",1469,31,21.4,1,17,0.511811023622047,14,19
"100 % Brebis (22,9 % MG)","France",0,"Cheese",1126,22.9,16.2,0.8,15.7,1.08,18,23
"Petit Pont L'Evêque (21,5% MG)","France",1,"Cheese",1161,21.5,15.3,0,21.5,0.590551181102362,14,19
"Grillis Fromage à Griller","France",0,"Cheese",1236,23.4,16.6,2.4,19.4,0.669291338582677,15,20
"Roq'Croque (8 Tranches) - (17,5 % MG)","France",4,"Cheese",937,17.5,12.4,4.5,12.5,1.2992125984252,17,22
"À saupoudrer (38% MG)","France",0,"Cheese",1899,38,27,0,29,2.48031496062992,20,25
"Croque & Burger (17% MG)","France",4,"Cheese",901,17,12.1,3,13,1.2992125984252,17,22
"Pérail (26,3% MG)","France",0,"Cheese",1266,26.3,18.7,0.2,17,0.590551181102362,14,19
"Ossau-Iraty","France",0,"Cheese",1706,35.5,25.5,0.2,22.9,0.708661417322835,17,22
"Roquefort","France",0,"Cheese",1496,31.7,22.5,0,19,1.45669291338583,19,24
"Société Crème (maxi format)","France",3,"Cheese",1116,23,16,1.6,14,0.78740157480315,16,21
"Clafoutis aux Abricots (4 Pots)","France",1,"Biscuits and cakes",975,9.6,5.6,31.4,5,0.0748031496062992,12,12
"Riz au lait caramel beurre salé","France",4,"Biscuits and cakes",606,3.3,2.2,26,2.4,0.14,6,6
"Clafoutis aux Cerises (4 Pots)","France",1,"Biscuits and cakes",935,9.7,5.6,28.8,5.1,0.06,12,12
"La Laitière Clafoutis aux Pommes façon Tatin","France",5,"Biscuits and cakes",964,9.6,5.6,30.3,4.9,0.0708661417322835,12,12
"Nestlé la Laitière, Riz au lait Saveur Vanille","France",2,"Biscuits and cakes",598,3.4,2.3,25.2,2.8,0.0708661417322835,5,5
"Galettes Tout au Beurre","Other",4,"Biscuits and cakes",1975,16,11,74,7,0.354,21,21
"Sablé de Retz le Véritable","Other",5,"Biscuits and cakes",1937,16,8,71,7,0.3,15,15
"Sablé de Retz le Véritable","France",5,"Biscuits and cakes",1950,16,8,71,7,0.299212598425197,15,15
"Roudor","Other",4,"Biscuits and cakes",2146,27,17,61,6,0.5,25,25
"Éventails d'or","France",1,"Biscuits and cakes",1808,8,5,79,9,0.4,18,18
"Savaroises au chocolat","France",5,"Biscuits and cakes",1986,27,17,52,4.9,0.12992125984252,20,20
"8 Madeleines recette de Commercy","Other",4,"Biscuits and cakes",1886,22,15,56,6,0.188976377952756,20,20
"Madeleines recette de Commercy","France",5,"Biscuits and cakes",1884,22,14.5,56,6,0.19,20,20
"Rillettes du Mans La Véritable","France",0,"Processed meat",1379,30,13.9,0.2,15.6,0.523622047244094,19,19
"Rillettes du Mans","Other",0,"Processed meat",1781,40.5,15.2,0.4,16.2,0.444881889763779,19,19
"Rillettes du Mans La Véritable (Format Familial)","France",0,"Processed meat",1781,40.5,15.2,0.4,16.2,0.444881889763779,19,19
"Rillettes de Porc Braisé en cocotte (+ 10 % Gratuit)","France",1,"Processed meat",1475,31.5,12.9,0.9,18,1.3,24,24
"Rillettes du Mans","France",0,"Processed meat",1380,28.7,11,0.5,18.2,0.543307086614173,20,20
"Rillettes du Mans La Véritable","France",0,"Processed meat",1781,40.5,15.2,0.4,16.2,0.444881889763779,19,19
"Bordeau Chesnel","France",0,"Processed meat",1803,40.5,35.8,0.4,16.2,0.444881889763779,19,19
"Les Exquises Rillettes Oie","France",2,"Processed meat",1506,34,10.9,0.3,17,0.433070866141732,18,18
"Fines rillettes Canard","France",2,"Processed meat",1532,33.6,11.6,0.9,16.1,0.47244094488189,19,19
"Rillettes de Poulet Rôti en Cocotte (+ 10 % Gratuit)","France",0,"Processed meat",1367,29,9.2,0.5,16.8,0.393700787401575,17,17
"Rillettes de poulet rôti en cocotte oignons confits","France",0,"Processed meat",1311,28.3,9.1,0.5,15,0.551181102362205,18,18
"Rillettes de Poulet Rôti en Cocotte","France",0,"Processed meat",1367,29,9.2,0.5,16.8,0.393700787401575,17,17
"Rillettes de la Sarthe","France",0,"Processed meat",1590,32.6,13.6,0.2,16.6,0,14,14
"Rillettes de Poulet Rôti en cocotte","Other",0,"Processed meat",1371,29,9.2,0.5,16.3,0.393700787401575,17,17
"Mon Cheesecake","France",5,"Biscuits and cakes",1084,12.5,7.4,31.1,5.3,0.13,15,15
"Mon Flan Gourmand au Chocolat d'Equateur","France",3,"Biscuits and cakes",445,2.4,1.5,16,3.8,0.07,0,0
"Ancel mon gâteau minute - Pépites de chocolat","France",5,"Biscuits and cakes",1192,5.5,4.4,50.1,7.4,0.173,15,15
"Mug Cake Moelleux au chocolat au lait","France",5,"Biscuits and cakes",274,3.1,2.1,55,6.1,0.188976377952756,13,13
"Mug Cake Brownie Mon gâteau minute","France",2,"Biscuits and cakes",1616,22,12,40,5.7,0.094488188976378,21,21
"Mes 5 Gâteaux","France",2,"Biscuits and cakes",1502,0.5,0.1,81,6.9,0.303149606299213,15,15
"Riz au lait parfum vanille","France",3,"Biscuits and cakes",538,1.4,0.9,24.6,3.7,0.0393700787401575,2,2
"Mon Coeur de Nuage Chocolat","France",6,"Biscuits and cakes",1480,13.8,7.6,49.5,6.1,0.236,19,19
"Mon Cœur de Nuage Duo","France",8,"Biscuits and cakes",1468,12,6.7,53,5.7,0.350393700787402,19,19
"Mug Cake Mon Gâteau Minute Moelleux au Citron","France",2,"Biscuits and cakes",1608,20,11,44,5.4,0.0984251968503937,21,21
"Le Pain d'Epices","France",3,"Biscuits and cakes",1322,0.7,0.2,72,2.9,0.48,13,13
"Burger' Cheddar & Emmental 12 Tranches (17 % MG)","France",5,"Cheese",935,17,12,4.5,13.5,0.94488188976378,17,22
"Burger' Cheddar & Emmental 20 Tranches (17 % MG)","France",5,"Cheese",935,17,12,4.5,13.5,0.944881889763779,17,22
"Gervais Fraise, Abricot Framboise","France",2,"Cheese",404,2,1.4,12.6,6.6,0.04,0,0
"Cottage Cheese","France",0,"Cheese",381,3.9,2.5,2.3,11.7,0.196850393700787,0,0
"Gervita Nature","France",1,"Cheese",561,10.2,7.1,3.7,6.9,0.0354330708661417,4,4
"Gervais (Saveurs : Fraise, Banane, Pêche, Framboise, Abricot) 18 Pots","France",4,"Cheese",396,2.2,1.5,12.3,6.2,0.0354330708661417,1,1
"Taillefine Nature (0 % MG) Recette au Fromage Blanc","France",0,"Cheese",204,0.1,0.06,4.5,7.3,0.05,-4,-4
"Jockey Onctueux et Doux","France",0,"Cheese",303,3,2.1,4.4,6.9,0.0433070866141732,-2,-2
"Gervais (Fraise, Framboise, Abricot, Pêche, Banane) - (2 % MG) 18 Pots","France",2,"Cheese",400,2,1.4,12.5,6.6,0.03,0,0
"Gervais (Fraise, Framboise, Abricot, Pêche, Banane) - (2 % MG) 12 Pots","France",2,"Cheese",400,2,1.4,12.5,6.6,0.03,0,0
"Fromage blanc gervita","France",1,"Cheese",561,10.3,6.9,3.8,6.9,0.03,3,3
"Fromage blanc 0% Taillefine","France",0,"Cheese",201,0.1,0.06,4.5,7.3,0.0433070866141732,-4,-4
"Gervais Fraise Abricot Framboise","France",4,"Cheese",398,2.2,1.5,12.4,6.2,0.0354330708661417,1,1
"Fromage blanc saveur vanille","France",10,"Cheese",422,3.8,2.7,11.8,4.7,0.0354330708661417,3,3
"Pain d'épices Spécial Foie Gras","Other",3,"Biscuits and cakes",1422,2.3,0.6,71,4.6,0.393700787401575,17,17
"Pain d'épices spécial foie gras à la figue","Other",3,"Biscuits and cakes",1414,2.2,0.53,71,4.6,0.393700787401575,17,17
"Pur Soup' Velouté de Légumes du Soleil ","France",0,"Soups",160,1.5,0.2,4.6,1,0.28740157480315,1,1
"Velouté de Légumes Verts","France",0,"Soups",126,0.7,0.4,4.6,1,0.255905511811024,2,2
"Pur Soup' - Mouliné de 7 légumes variés","France",1,"Soups",155,1.2,0.4,4.8,0.9,0.7,4,4
"Velouté de potiron à la crème fraîche","France",0,"Soups",147,1.7,0.8,3.8,0.8,0.283,2,2
"Velouté de Potiron et pointe de crème Liebig","Other",1,"Soups",147,1.7,0.8,3.8,0.8,0.29,2,2
"Velouté de légumes poêlés","France",0,"Soups",225,2.8,0.9,5.2,1.1,0.28740157480315,1,1
"Pur Soup' Velouté de légumes poêlés","France",0,"Soups",225,2.8,0.9,5.2,1.1,0.287,0,0
"Pur Soup' Pommes de terre, Poireaux, Lentilles","France",0,"Soups",167,1.4,0.8,4.6,1.4,0.275590551181102,0,0
"Pommes de terre, poireaux, lentilles","France",0,"Soups",167,1.4,0.8,4.6,1.4,0.276,0,0
"Velouté de Légumes Poêlés","France",0,"Soups",225,2.8,0.9,5.2,1.1,0.28740157480315,1,1
"Pommes de Terre, Poireaux, Lentilles (lot de 2 x 1 L) ","France",0,"Soups",167,1.4,0.8,4.6,1.4,0.276,1,1
"Potager Malin Tomates et Vermicelles","France",1,"Soups",154,0.92,0.32,5.52,1,0.315,0,0
"Légumes et Vermicelles","France",1,"Soups",142,1,0.5,4.6,1,0.77,7,7
"Pur Soup' Épinards Artichauts","France",1,"Soups",190,2.4,1.2,4.5,1,0.28740157480315,3,3
"Fondue de poireaux aux St Jacques","France",1,"Soups",242,3.3,2,5,1.6,0.307,2,2
"Velouté de Potiron et pointe de crème (lot de 2)","France",1,"Soups",147,1.7,0.8,3.8,0.8,0.29,2,2
"Pur Soup' Carottes fraîches et pointe de crème","France",0,"Soups",166,1.6,1,4.6,0.9,0.307,0,0
"Légumes et vermicelles","France",1,"Soups",139,1,0.4,4.6,0.9,0.303,2,2
"Duo d'asperges aux eclats de morilles","France",1,"Soups",219,3.6,1.6,4.1,0.7,0.303,4,4
"Gazpacho","France",0,"Soups",107,1.3,0.2,2.6,0.5,0.295275590551181,2,2
